"","pred_mse","model_SE","emp_SE","r_squared_X","r_squared_Y","causal_true_value","causal_estimate","causal_bias","causal_coverage","open_paths","blocked_paths"
"linear",1.2105,0.0111,0.011,0.2049,0.4033,0.5,0.4991,-9e-04,0.9455,64,64
"linear_unadjusted",1.4184,0.0107,0.0104,-1e-04,0.3009,0.5,0.6991,0.1991,0,64,0
"stepwise",1.2105,0.0111,0.011,0.2049,0.4033,0.5,0.4991,-9e-04,0.9455,64,63.9985
"stepwise_X",1.2105,0.0111,0.011,0.2049,0.4033,0.5,0.4991,-9e-04,0.9455,64,64
"two_step_lasso",1.2105,0.0111,0.011,0.2049,0.4033,0.5,0.4991,-9e-04,0.9455,64,64
"two_step_lasso_X",1.2105,0.0111,0.011,0.2049,0.4033,0.5,0.4991,-9e-04,0.9455,64,64
"two_step_lasso_union",1.2105,0.0111,0.011,0.2049,0.4033,0.5,0.4991,-9e-04,0.9455,64,64
