"","pred_mse","model_SE","emp_SE","r_squared_X","r_squared_Y","causal_true_value","causal_estimate","causal_bias","causal_coverage","open_paths","blocked_paths"
"linear",0.8456,0.0092,0.0091,0.0962,0.3621,0.5,0.4997,-3e-04,0.9525,16,16
"linear_unadjusted",0.9433,0.0092,0.0092,-1e-04,0.2884,0.5,0.5882,0.0882,0,16,0
"stepwise",0.8458,0.0092,0.0092,0.0902,0.3619,0.5,0.5004,4e-04,0.9555,16,12.795
"stepwise_X",0.8531,0.0092,0.0091,0.096,0.3564,0.5,0.5005,5e-04,0.9575,16,12.3995
"two_step_lasso",0.8456,0.0092,0.0091,0.0954,0.3621,0.5,0.4996,-4e-04,0.952,16,15.5115
"two_step_lasso_X",0.8468,0.0092,0.0091,0.0962,0.3612,0.5,0.4996,-4e-04,0.9525,16,15.363
"two_step_lasso_union",0.8456,0.0092,0.0091,0.0962,0.3621,0.5,0.4997,-3e-04,0.9525,16,15.9805
