"","pred_mse","model_SE","emp_SE","r_squared_X","r_squared_Y","causal_true_value","causal_estimate","causal_bias","causal_coverage","open_paths","blocked_paths"
"linear",1.2719,0.011,0.0111,0.1541,0.3741,0.5,0.5587,0.0587,0,64,48
"linear_unadjusted",1.4195,0.0107,0.0106,-1e-04,0.3015,0.5,0.7,0.2,0,64,0
"stepwise",1.2719,0.011,0.0111,0.1541,0.3741,0.5,0.5587,0.0587,0,64,47.996
"stepwise_X",1.2719,0.011,0.0111,0.1541,0.3741,0.5,0.5587,0.0587,0,64,48
"two_step_lasso",1.2719,0.011,0.0111,0.1541,0.3741,0.5,0.5587,0.0587,0,64,48
"two_step_lasso_X",1.2719,0.011,0.0111,0.1541,0.3741,0.5,0.5587,0.0587,0,64,48
"two_step_lasso_union",1.2719,0.011,0.0111,0.1541,0.3741,0.5,0.5587,0.0587,0,64,48
