"","pred_mse","model_SE","emp_SE","r_squared_X","r_squared_Y","causal_true_value","causal_estimate","causal_bias","causal_coverage","open_paths","blocked_paths"
"linear",1.1373,0.0106,0.0106,0.2055,0.4249,0.5,0.5095,0.0095,0.852,32,24
"linear_unadjusted",1.3456,0.0103,0.0102,-1e-04,0.3195,0.5,0.7052,0.2052,0,32,0
"stepwise",1.1376,0.0106,0.0107,0.1999,0.4247,0.5,0.5106,0.0106,0.826,32,20.722
"stepwise_X",1.1431,0.0107,0.0107,0.2053,0.4219,0.5,0.5104,0.0104,0.834,32,21.2745
"two_step_lasso",1.1373,0.0106,0.0106,0.205,0.4249,0.5,0.5095,0.0095,0.852,32,23.6515
"two_step_lasso_X",1.1377,0.0106,0.0106,0.2055,0.4246,0.5,0.5095,0.0095,0.8525,32,23.7665
"two_step_lasso_union",1.1373,0.0106,0.0106,0.2055,0.4249,0.5,0.5095,0.0095,0.852,32,23.9975
