"","pred_mse","model_SE","emp_SE","r_squared_X","r_squared_Y","causal_true_value","causal_estimate","causal_bias","causal_coverage","open_paths","blocked_paths"
"linear",1.2247,0.011,0.0112,0.1946,0.397,0.5,0.5089,0.0089,0.8745,32,24
"linear_unadjusted",1.4187,0.0107,0.0107,-1e-04,0.3015,0.5,0.6999,0.1999,0,32,0
"stepwise",1.2248,0.011,0.0112,0.194,0.3969,0.5,0.5091,0.0091,0.8695,32,23.497
"stepwise_X",1.225,0.011,0.0112,0.1946,0.3968,0.5,0.509,0.009,0.8725,32,23.823
"two_step_lasso",1.2247,0.011,0.0112,0.1946,0.397,0.5,0.5089,0.0089,0.8745,32,23.9885
"two_step_lasso_X",1.2247,0.011,0.0112,0.1946,0.397,0.5,0.5089,0.0089,0.8745,32,23.998
"two_step_lasso_union",1.2247,0.011,0.0112,0.1946,0.397,0.5,0.5089,0.0089,0.8745,32,24
