"","pred_mse","model_SE","emp_SE","r_squared_X","r_squared_Y","causal_true_value","causal_estimate","causal_bias","causal_coverage","open_paths","blocked_paths"
"linear",5.26,0.0487,0.0486,NA,NA,0.15,0.148,-0.00169,0.95,16,16
"linear_unadjusted",4.78,0.0466,0.046,NA,NA,0.15,0.309,0.159,0.0745,16,0
"stepwise",5.26,0.0485,0.0489,NA,NA,0.15,0.153,0.00291,0.948,16,12.9
"stepwise_X",5.17,0.0485,0.0483,NA,NA,0.15,0.152,0.00152,0.95,16,13.1
"two_step_lasso",5.26,0.0487,0.0486,NA,NA,0.15,0.148,-0.00171,0.95,16,15.6
"two_step_lasso_X",5.25,0.0487,0.0485,NA,NA,0.15,0.148,-0.00186,0.95,16,15.6
"two_step_lasso_union",5.26,0.0487,0.0486,NA,NA,0.15,0.148,-0.00169,0.95,16,16
