"","pred_mse","model_SE","emp_SE","r_squared_X","r_squared_Y","causal_true_value","causal_estimate","causal_bias","causal_coverage","open_paths","blocked_paths"
"linear",27.7,0.102,0.101,NA,NA,0.15,0.172,0.0216,0.944,32,24
"linear_unadjusted",23.4,0.1,0.0987,NA,NA,0.15,0.27,0.12,0.776,32,0
"stepwise",27.2,0.101,0.101,NA,NA,0.15,0.187,0.037,0.935,32,10.6
"stepwise_X",26.5,0.102,0.101,NA,NA,0.15,0.176,0.0258,0.942,32,17
"two_step_lasso",27.6,0.102,0.101,NA,NA,0.15,0.172,0.0217,0.943,32,17.8
"two_step_lasso_X",27.4,0.102,0.101,NA,NA,0.15,0.171,0.0215,0.944,32,22.5
"two_step_lasso_union",27.7,0.102,0.101,NA,NA,0.15,0.172,0.0216,0.944,32,23.6
