"","pred_mse","model_SE","emp_SE","r_squared_X","r_squared_Y","causal_true_value","causal_estimate","causal_bias","causal_coverage","open_paths","blocked_paths"
"linear",1.2143,0.0111,0.0112,0.2029,0.4021,0.5,0.5004,4e-04,0.9425,32,32
"linear_unadjusted",1.4177,0.0106,0.0108,-1e-04,0.302,0.5,0.7004,0.2004,0,32,0
"stepwise",1.2147,0.011,0.0113,0.2006,0.4019,0.5,0.5012,0.0012,0.9415,32,29.183
"stepwise_X",1.2161,0.0111,0.0112,0.2028,0.4012,0.5,0.5009,9e-04,0.945,32,30.2775
"two_step_lasso",1.2143,0.0111,0.0112,0.2028,0.4021,0.5,0.5004,4e-04,0.9425,32,31.891
"two_step_lasso_X",1.2144,0.0111,0.0112,0.2029,0.4021,0.5,0.5004,4e-04,0.9425,32,31.9525
"two_step_lasso_union",1.2143,0.0111,0.0112,0.2029,0.4021,0.5,0.5004,4e-04,0.9425,32,32
