"","pred_mse","model_SE","emp_SE","r_squared_X","r_squared_Y","causal_true_value","causal_estimate","causal_bias","causal_coverage","open_paths","blocked_paths"
"linear",1.2031,0.0111,0.0109,0.2102,0.4079,0.5,0.5005,5e-04,0.951,128,128
"linear_unadjusted",1.4188,0.0107,0.0105,-1e-04,0.3018,0.5,0.7005,0.2005,0,128,0
"stepwise",1.2032,0.0111,0.0109,0.2091,0.4079,0.5,0.5008,8e-04,0.9495,128,127.3345
"stepwise_X",1.2035,0.0111,0.0109,0.2101,0.4077,0.5,0.5006,6e-04,0.9505,128,127.803
"two_step_lasso",1.2031,0.0111,0.0109,0.2102,0.4079,0.5,0.5005,5e-04,0.951,128,127.999
"two_step_lasso_X",1.2031,0.0111,0.0109,0.2102,0.4079,0.5,0.5005,5e-04,0.951,128,127.9985
"two_step_lasso_union",1.2031,0.0111,0.0109,0.2102,0.4079,0.5,0.5005,5e-04,0.951,128,128
