"","pred_mse","model_SE","emp_SE","r_squared_X","r_squared_Y","causal_true_value","causal_estimate","causal_bias","causal_coverage","open_paths","blocked_paths"
"linear",0.8457,0.0092,0.0092,0.0903,0.3582,0.5,0.5033,0.0033,0.9295,32,24
"linear_unadjusted",0.9361,0.0092,0.0092,-1e-04,0.2896,0.5,0.5885,0.0885,0,32,0
"stepwise",0.846,0.0092,0.0093,0.0856,0.358,0.5,0.5041,0.0041,0.922,32,18.435
"stepwise_X",0.8513,0.0092,0.0093,0.09,0.354,0.5,0.5042,0.0042,0.924,32,17.908
"two_step_lasso",0.8457,0.0092,0.0092,0.0896,0.3582,0.5,0.5033,0.0033,0.93,32,23.008
"two_step_lasso_X",0.8467,0.0092,0.0093,0.0903,0.3574,0.5,0.5032,0.0032,0.93,32,22.7555
"two_step_lasso_union",0.8457,0.0092,0.0092,0.0903,0.3582,0.5,0.5033,0.0033,0.9295,32,23.946
