"","pred_mse","model_SE","emp_SE","r_squared_X","r_squared_Y","causal_true_value","causal_estimate","causal_bias","causal_coverage","open_paths","blocked_paths"
"linear",1.1252,0.0106,0.0105,0.2088,0.4281,0.5,0.5051,0.0051,0.9225,64,48
"linear_unadjusted",1.3368,0.0103,0.0105,-1e-04,0.3206,0.5,0.7059,0.2059,0,64,0
"stepwise",1.1263,0.0106,0.0106,0.1993,0.4275,0.5,0.507,0.007,0.89,64,32.57
"stepwise_X",1.1363,0.0107,0.0106,0.2081,0.4224,0.5,0.5069,0.0069,0.899,64,33.6245
"two_step_lasso",1.1253,0.0106,0.0105,0.2068,0.428,0.5,0.5047,0.0047,0.9265,64,44.1
"two_step_lasso_X",1.1274,0.0106,0.0105,0.2088,0.427,0.5,0.5048,0.0048,0.925,64,44.662
"two_step_lasso_union",1.1252,0.0106,0.0105,0.2088,0.4281,0.5,0.5051,0.0051,0.922,64,47.727
