"","pred_mse","model_SE","emp_SE","r_squared_X","r_squared_Y","causal_true_value","causal_estimate","causal_bias","causal_coverage","open_paths","blocked_paths"
"linear",1.2178,0.0111,0.0111,0.2001,0.4006,0.5,0.5049,0.0049,0.9315,64,48
"linear_unadjusted",1.419,0.0107,0.0105,-1e-04,0.3016,0.5,0.7003,0.2003,0,64,0
"stepwise",1.219,0.011,0.0112,0.1933,0.4001,0.5,0.5073,0.0073,0.8985,64,34.576
"stepwise_X",1.2244,0.0111,0.0111,0.1994,0.3974,0.5,0.5067,0.0067,0.912,64,37.181
"two_step_lasso",1.2178,0.0111,0.0111,0.1993,0.4006,0.5,0.5048,0.0048,0.9325,64,46.2405
"two_step_lasso_X",1.2184,0.0111,0.0111,0.2001,0.4003,0.5,0.5048,0.0048,0.9315,64,46.855
"two_step_lasso_union",1.2178,0.0111,0.0111,0.2001,0.4006,0.5,0.5049,0.0049,0.9315,64,47.962
