"measured_confounders","unmeasured_confounders","true_coefficients","lasso_mean_coef","lasso_emp_se","lasso_model_se","lasso_X_mean_coef","lasso_X_emp_se","lasso_X_model_se","lasso_union_mean_coef","lasso_union_emp_se","lasso_union_model_se"
16,0,0.5,0.4999,0.0108,0.0107,0.4999,0.0108,0.0107,0.5,0.0108,0.0107
12,4,0.5,0.5157,0.011,0.0106,0.5157,0.011,0.0106,0.5157,0.011,0.0106
32,0,0.5,0.4998,0.0107,0.0106,0.4998,0.0107,0.0107,0.5,0.0107,0.0106
24,8,0.5,0.5095,0.0106,0.0106,0.5095,0.0106,0.0106,0.5095,0.0106,0.0106
64,0,0.5,0.4997,0.0107,0.0106,0.4998,0.0108,0.0107,0.5005,0.0108,0.0106
48,16,0.5,0.5047,0.0105,0.0106,0.5048,0.0105,0.0106,0.5051,0.0105,0.0106
