"measured_confounders","unmeasured_confounders","true_coefficients","lasso_mean_coef","lasso_emp_se","lasso_model_se","lasso_X_mean_coef","lasso_X_emp_se","lasso_X_model_se","lasso_union_mean_coef","lasso_union_emp_se","lasso_union_model_se"
16,0,0.15,0.149,0.0106,0.0106,0.149,0.0106,0.0106,0.149,0.0106,0.0106
12,4,0.15,0.185,0.0102,0.0106,0.185,0.0102,0.0106,0.185,0.0102,0.0106
32,0,0.15,0.15,0.0106,0.0105,0.15,0.0106,0.0106,0.15,0.0106,0.0106
24,8,0.15,0.171,0.0102,0.0105,0.171,0.0102,0.0105,0.171,0.0102,0.0105
64,0,0.15,0.149,0.0106,0.0105,0.15,0.0106,0.0106,0.15,0.0106,0.0105
48,16,0.15,0.161,0.0104,0.0105,0.161,0.0104,0.0105,0.161,0.0104,0.0105
128,0,0.15,0.148,0.0104,0.0105,0.148,0.0104,0.0106,0.15,0.0104,0.0105
96,32,0.15,0.155,0.0101,0.0105,0.155,0.0101,0.0105,0.156,0.0101,0.0105
