"measured_confounders","unmeasured_confounders","true_coefficients","lasso_mean_coef","lasso_emp_se","lasso_model_se","lasso_X_mean_coef","lasso_X_emp_se","lasso_X_model_se","lasso_union_mean_coef","lasso_union_emp_se","lasso_union_model_se"
16,0,0.15,0.138,0.129,0.126,0.142,0.129,0.127,0.143,0.129,0.127
12,4,0.15,0.18,0.127,0.126,0.181,0.127,0.126,0.182,0.127,0.126
32,0,0.15,0.133,0.126,0.127,0.144,0.126,0.127,0.147,0.126,0.127
24,8,0.15,0.161,0.126,0.126,0.167,0.126,0.127,0.168,0.126,0.127
