"measured_confounders","unmeasured_confounders","true_coefficients","linear_full_mean_coef","linear_full_emp_se","linear_full_model_se","stepwise_mean_coef","stepwise_emp_se","stepwise_model_se","stepwise_X_mean_coef","stepwise_X_emp_se","stepwise_X_model_se"
16,0,0.5,0.4997,0.0115,0.011,0.4997,0.0115,0.011,0.4997,0.0115,0.011
12,4,0.5,0.5155,0.011,0.011,0.5155,0.011,0.011,0.5155,0.011,0.011
32,0,0.5,0.5004,0.0112,0.0111,0.5012,0.0113,0.011,0.5009,0.0112,0.0111
24,8,0.5,0.5089,0.0112,0.011,0.5091,0.0112,0.011,0.509,0.0112,0.011
64,0,0.5,0.4999,0.0111,0.0111,0.5029,0.0112,0.011,0.5025,0.0111,0.0111
48,16,0.5,0.5049,0.0111,0.0111,0.5073,0.0112,0.011,0.5067,0.0111,0.0111
