"measured_confounders","unmeasured_confounders","linear_full_bias","linear_full_coverage","stepwise_bias","stepwise_coverage","stepwise_X_bias","stepwise_X_coverage","lasso_bias","lasso_coverage","lasso_X_bias","lasso_X_coverage","lasso_union_bias","lasso_union_coverage"
16,0,3e-04,0.9475,3e-04,0.9475,3e-04,0.9475,3e-04,0.9475,3e-04,0.9475,3e-04,0.9475
12,4,0.0589,5e-04,0.0589,5e-04,0.0589,5e-04,0.0589,5e-04,0.0589,5e-04,0.0589,5e-04
32,0,-4e-04,0.952,-4e-04,0.952,-4e-04,0.952,-4e-04,0.952,-4e-04,0.952,-4e-04,0.952
24,8,0.0587,0,0.0587,0,0.0587,0,0.0587,0,0.0587,0,0.0587,0
64,0,-9e-04,0.9455,-9e-04,0.9455,-9e-04,0.9455,-9e-04,0.9455,-9e-04,0.9455,-9e-04,0.9455
48,16,0.0587,0,0.0587,0,0.0587,0,0.0587,0,0.0587,0,0.0587,0
128,0,5e-04,0.951,8e-04,0.9495,6e-04,0.9505,5e-04,0.951,5e-04,0.951,5e-04,0.951
96,32,0.0591,5e-04,0.0598,5e-04,0.0592,5e-04,0.0591,5e-04,0.0591,5e-04,0.0591,5e-04
