"measured_confounders","unmeasured_confounders","linear_full_bias","linear_full_coverage","stepwise_bias","stepwise_coverage","stepwise_X_bias","stepwise_X_coverage","lasso_bias","lasso_coverage","lasso_X_bias","lasso_X_coverage","lasso_union_bias","lasso_union_coverage"
16,0,2e-04,0.957,NA,NA,NA,NA,2e-04,0.957,2e-04,0.957,2e-04,0.957
12,4,0.0859,5e-04,NA,NA,NA,NA,0.0859,5e-04,0.0859,5e-04,0.0859,5e-04
32,0,2e-04,0.95,NA,NA,NA,NA,2e-04,0.95,2e-04,0.95,2e-04,0.95
24,8,0.0503,0.175,NA,NA,NA,NA,0.0503,0.175,0.0503,0.175,0.0503,0.175
64,0,-4e-04,0.942,NA,NA,NA,NA,-6e-04,0.942,-4e-04,0.942,-4e-04,0.942
48,16,0.0281,0.622,NA,NA,NA,NA,0.0281,0.622,0.0281,0.622,0.0281,0.622
128,0,2e-04,0.954,NA,NA,NA,NA,-0.0029,0.952,-1e-04,0.952,2e-04,0.954
96,32,0.0146,0.872,NA,NA,NA,NA,0.0132,0.89,0.0146,0.872,0.0146,0.872
