"measured_confounders","unmeasured_confounders","linear_full_bias","linear_full_coverage","stepwise_bias","stepwise_coverage","stepwise_X_bias","stepwise_X_coverage","lasso_bias","lasso_coverage","lasso_X_bias","lasso_X_coverage","lasso_union_bias","lasso_union_coverage"
16,0,0.00208,0.954,NA,NA,NA,NA,0.00173,0.954,0.00204,0.954,0.00208,0.954
12,4,0.0303,0.932,NA,NA,NA,NA,0.0302,0.931,0.0303,0.932,0.0303,0.932
32,0,0.0011,0.956,NA,NA,NA,NA,0.000307,0.956,0.00065,0.955,0.0011,0.956
24,8,0.0229,0.944,NA,NA,NA,NA,0.023,0.942,0.0227,0.943,0.0229,0.944
