"measured_confounders","unmeasured_confounders","true_coefficients","linear_full_mean_coef","linear_full_emp_se","linear_full_model_se","stepwise_mean_coef","stepwise_emp_se","stepwise_model_se","stepwise_X_mean_coef","stepwise_X_emp_se","stepwise_X_model_se","lasso_mean_coef","lasso_emp_se","lasso_model_se","lasso_X_mean_coef","lasso_X_emp_se","lasso_X_model_se","lasso_union_mean_coef","lasso_union_emp_se","lasso_union_model_se"
16,0,0.5,0.4997,0.0091,0.0092,0.5004,0.0092,0.0092,0.5005,0.0091,0.0092,0.4996,0.0091,0.0092,0.4996,0.0091,0.0092,0.4997,0.0091,0.0092
12,4,0.5,0.5063,0.0091,0.0092,0.5066,0.0091,0.0092,0.5067,0.0091,0.0092,0.5063,0.0091,0.0092,0.5063,0.0091,0.0092,0.5063,0.0091,0.0092
32,0,0.5,0.5002,0.0094,0.0092,0.5011,0.0095,0.0092,0.5012,0.0095,0.0092,0.5,0.0094,0.0092,0.4999,0.0094,0.0092,0.5002,0.0094,0.0092
24,8,0.5,0.5033,0.0092,0.0092,0.5041,0.0093,0.0092,0.5042,0.0093,0.0092,0.5033,0.0092,0.0092,0.5032,0.0093,0.0092,0.5033,0.0092,0.0092
64,0,0.5,0.5001,0.0092,0.0092,0.5014,0.0092,0.0091,0.5016,0.0092,0.0092,0.4994,0.0092,0.0092,0.4993,0.0092,0.0092,0.5002,0.0092,0.0092
48,16,0.5,0.502,0.0091,0.0092,0.5033,0.0091,0.0092,0.5035,0.0091,0.0092,0.5017,0.0091,0.0092,0.5016,0.0091,0.0092,0.502,0.0091,0.0092
