"measured_confounders","unmeasured_confounders","linear_full_bias","linear_full_coverage","stepwise_bias","stepwise_coverage","stepwise_X_bias","stepwise_X_coverage","lasso_bias","lasso_coverage","lasso_X_bias","lasso_X_coverage","lasso_union_bias","lasso_union_coverage"
16,0,-0.00169,0.95,0.00291,0.948,0.00152,0.95,-0.00171,0.95,-0.00186,0.95,-0.00169,0.95
12,4,0.0351,0.883,0.0382,0.868,0.0371,0.878,0.0351,0.883,0.0351,0.883,0.0351,0.883
32,0,-0.000483,0.948,0.00497,0.948,0.0036,0.952,-0.000771,0.948,-0.00111,0.948,-0.000482,0.948
24,8,0.0207,0.924,0.0253,0.912,0.0241,0.914,0.0205,0.924,0.0203,0.928,0.0207,0.924
