"measured_confounders","unmeasured_confounders","true_coefficients","lasso_mean_coef","lasso_emp_se","lasso_model_se","lasso_X_mean_coef","lasso_X_emp_se","lasso_X_model_se","lasso_union_mean_coef","lasso_union_emp_se","lasso_union_model_se"
16,0,0.15,0.15,0.0172,0.0174,0.15,0.0172,0.0174,0.15,0.0172,0.0174
12,4,0.15,0.423,0.0154,0.0155,0.423,0.0154,0.0155,0.423,0.0154,0.0155
32,0,0.15,0.15,0.0173,0.0174,0.15,0.0173,0.0174,0.15,0.0173,0.0174
24,8,0.15,0.423,0.0157,0.0155,0.423,0.0157,0.0155,0.423,0.0157,0.0155
64,0,0.15,0.15,0.017,0.0174,0.15,0.017,0.0174,0.15,0.017,0.0174
48,16,0.15,0.423,0.0152,0.0155,0.423,0.0152,0.0155,0.423,0.0152,0.0155
128,0,0.15,0.15,0.0171,0.0175,0.15,0.0171,0.0175,0.15,0.0171,0.0175
96,32,0.15,0.423,0.0152,0.0155,0.423,0.0152,0.0155,0.423,0.0152,0.0155
