"measured_confounders","unmeasured_confounders","true_coefficients","lasso_mean_coef","lasso_emp_se","lasso_model_se","lasso_X_mean_coef","lasso_X_emp_se","lasso_X_model_se","lasso_union_mean_coef","lasso_union_emp_se","lasso_union_model_se"
16,0,0.5,0.5003,0.011,0.0111,0.5003,0.011,0.0111,0.5003,0.011,0.0111
12,4,0.5,0.5589,0.0113,0.011,0.5589,0.0113,0.011,0.5589,0.0113,0.011
32,0,0.5,0.4996,0.0112,0.0111,0.4996,0.0112,0.0111,0.4996,0.0112,0.0111
24,8,0.5,0.5587,0.0107,0.011,0.5587,0.0107,0.011,0.5587,0.0107,0.011
64,0,0.5,0.4991,0.011,0.0111,0.4991,0.011,0.0111,0.4991,0.011,0.0111
48,16,0.5,0.5587,0.0111,0.011,0.5587,0.0111,0.011,0.5587,0.0111,0.011
128,0,0.5,0.5005,0.0109,0.0111,0.5005,0.0109,0.0111,0.5005,0.0109,0.0111
96,32,0.5,0.5591,0.011,0.011,0.5591,0.011,0.011,0.5591,0.011,0.011
