"measured_confounders","unmeasured_confounders","linear_full_bias","linear_full_coverage","stepwise_bias","stepwise_coverage","stepwise_X_bias","stepwise_X_coverage","lasso_bias","lasso_coverage","lasso_X_bias","lasso_X_coverage","lasso_union_bias","lasso_union_coverage"
16,0,-0.00122,0.955,0.0104,0.948,0.00275,0.956,-0.00151,0.954,-0.00128,0.955,-0.00122,0.955
12,4,0.0332,0.936,0.0425,0.923,0.0358,0.934,0.0331,0.935,0.0332,0.936,0.0332,0.936
32,0,-0.00311,0.944,0.0148,0.942,0.00192,0.946,-0.00418,0.944,-0.0035,0.944,-0.00311,0.944
24,8,0.0216,0.944,0.037,0.935,0.0258,0.942,0.0217,0.943,0.0215,0.944,0.0216,0.944
