"measured_confounders","unmeasured_confounders","true_coefficients","linear_full_mean_coef","linear_full_emp_se","linear_full_model_se","stepwise_mean_coef","stepwise_emp_se","stepwise_model_se","stepwise_X_mean_coef","stepwise_X_emp_se","stepwise_X_model_se","lasso_mean_coef","lasso_emp_se","lasso_model_se","lasso_X_mean_coef","lasso_X_emp_se","lasso_X_model_se","lasso_union_mean_coef","lasso_union_emp_se","lasso_union_model_se"
16,0,0.15,0.148,0.0595,0.0591,0.154,0.0596,0.0589,0.152,0.0591,0.0588,0.148,0.0595,0.0591,0.148,0.0595,0.0591,0.148,0.0595,0.0591
12,4,0.15,0.185,0.059,0.0586,0.187,0.0592,0.0585,0.187,0.0588,0.0585,0.185,0.0589,0.0586,0.185,0.059,0.0586,0.185,0.059,0.0586
32,0,0.15,0.149,0.0595,0.0591,0.155,0.0594,0.0588,0.154,0.059,0.0588,0.147,0.0594,0.0591,0.147,0.0594,0.059,0.149,0.0595,0.0591
24,8,0.15,0.169,0.0612,0.0588,0.175,0.0614,0.0586,0.174,0.0609,0.0586,0.169,0.0612,0.0588,0.168,0.0612,0.0588,0.169,0.0612,0.0588
