"measured_confounders","unmeasured_confounders","open_paths","linear_full_blocked","stepwise_blocked","stepwise_X_blocked","lasso_blocked","lasso_X_blocked","lasso_union_blocked"
16,0,16,16,9.98,13,14.1,15.6,16
12,4,16,12,7.7,10.3,10.6,11.8,12
32,0,32,32,13.2,21.2,22.6,29,31.2
24,8,32,24,10.6,17,17.8,22.5,23.6
