"measured_confounders","unmeasured_confounders","true_coefficients","linear_full_mean_coef","linear_full_emp_se","linear_full_model_se","stepwise_mean_coef","stepwise_emp_se","stepwise_model_se","stepwise_X_mean_coef","stepwise_X_emp_se","stepwise_X_model_se"
16,0,0.15,0.15,0.0171,0.0174,NA,NA,NA,NA,NA,NA
12,4,0.15,0.236,0.017,0.0168,NA,NA,NA,NA,NA,NA
32,0,0.15,0.15,0.0173,0.0174,NA,NA,NA,NA,NA,NA
24,8,0.15,0.2,0.0176,0.0171,NA,NA,NA,NA,NA,NA
64,0,0.15,0.15,0.0178,0.0174,NA,NA,NA,NA,NA,NA
48,16,0.15,0.178,0.0171,0.0172,NA,NA,NA,NA,NA,NA
128,0,0.15,0.15,0.0175,0.0175,NA,NA,NA,NA,NA,NA
96,32,0.15,0.165,0.0173,0.0173,NA,NA,NA,NA,NA,NA
