"measured_confounders","unmeasured_confounders","linear_full_bias","linear_full_coverage","stepwise_bias","stepwise_coverage","stepwise_X_bias","stepwise_X_coverage","lasso_bias","lasso_coverage","lasso_X_bias","lasso_X_coverage","lasso_union_bias","lasso_union_coverage"
16,0,-0.00179,0.944,0.00353,0.942,0.00209,0.944,-0.00223,0.944,-0.0025,0.945,-0.00179,0.944
12,4,0.0346,0.916,0.0374,0.901,0.0366,0.91,0.0345,0.916,0.0345,0.916,0.0346,0.916
32,0,-0.000914,0.948,0.00523,0.942,0.00353,0.946,-0.00289,0.95,-0.00344,0.95,-0.000867,0.949
24,8,0.0194,0.932,0.0253,0.92,0.0239,0.92,0.0188,0.934,0.0185,0.934,0.0194,0.932
