"measured_confounders","unmeasured_confounders","true_coefficients","linear_full_mean_coef","linear_full_emp_se","linear_full_model_se","stepwise_mean_coef","stepwise_emp_se","stepwise_model_se","stepwise_X_mean_coef","stepwise_X_emp_se","stepwise_X_model_se","lasso_mean_coef","lasso_emp_se","lasso_model_se","lasso_X_mean_coef","lasso_X_emp_se","lasso_X_model_se","lasso_union_mean_coef","lasso_union_emp_se","lasso_union_model_se"
16,0,0.5,1,0.0312,0.0314,1,0.0313,0.0314,1.01,0.0314,0.0318,1,0.0312,0.0314,1,0.0313,0.0315,1,0.0312,0.0314
12,4,0.5,1.04,0.0326,0.0318,1.04,0.0326,0.0317,1.04,0.0326,0.0319,1.04,0.0326,0.0318,1.04,0.0326,0.0318,1.04,0.0326,0.0318
32,0,0.5,1,0.0309,0.0313,1,0.031,0.0312,1.01,0.0311,0.0317,1,0.0309,0.0313,0.998,0.0309,0.0314,1,0.0309,0.0313
24,8,0.5,1.02,0.0316,0.0315,1.02,0.0317,0.0315,1.03,0.0317,0.0318,1.02,0.0316,0.0315,1.02,0.0316,0.0316,1.02,0.0316,0.0315
