"measured_confounders","unmeasured_confounders","true_coefficients","lasso_mean_coef","lasso_emp_se","lasso_model_se","lasso_X_mean_coef","lasso_X_emp_se","lasso_X_model_se","lasso_union_mean_coef","lasso_union_emp_se","lasso_union_model_se"
16,0,0.15,0.15,0.0171,0.0174,0.15,0.0171,0.0174,0.15,0.0171,0.0174
12,4,0.15,0.236,0.017,0.0168,0.236,0.017,0.0168,0.236,0.017,0.0168
32,0,0.15,0.15,0.0173,0.0174,0.15,0.0173,0.0174,0.15,0.0173,0.0174
24,8,0.15,0.2,0.0176,0.0171,0.2,0.0176,0.0171,0.2,0.0176,0.0171
64,0,0.15,0.149,0.0178,0.0174,0.15,0.0178,0.0174,0.15,0.0178,0.0174
48,16,0.15,0.178,0.0171,0.0172,0.178,0.0171,0.0172,0.178,0.0171,0.0172
128,0,0.15,0.147,0.0174,0.0174,0.15,0.0175,0.0175,0.15,0.0175,0.0175
96,32,0.15,0.163,0.0172,0.0173,0.165,0.0173,0.0173,0.165,0.0173,0.0173
