"measured_confounders","unmeasured_confounders","true_coefficients","lasso_mean_coef","lasso_emp_se","lasso_model_se","lasso_X_mean_coef","lasso_X_emp_se","lasso_X_model_se","lasso_union_mean_coef","lasso_union_emp_se","lasso_union_model_se"
16,0,0.15,0.148,0.103,0.102,0.149,0.103,0.103,0.149,0.103,0.103
12,4,0.15,0.183,0.1,0.102,0.183,0.1,0.102,0.183,0.1,0.102
32,0,0.15,0.146,0.103,0.102,0.146,0.103,0.103,0.147,0.104,0.103
24,8,0.15,0.172,0.101,0.102,0.171,0.101,0.102,0.172,0.101,0.102
