"measured_confounders","unmeasured_confounders","true_coefficients","linear_full_mean_coef","linear_full_emp_se","linear_full_model_se","stepwise_mean_coef","stepwise_emp_se","stepwise_model_se","stepwise_X_mean_coef","stepwise_X_emp_se","stepwise_X_model_se"
16,0,0.15,0.152,0.102,0.103,NA,NA,NA,NA,NA,NA
12,4,0.15,0.18,0.105,0.102,NA,NA,NA,NA,NA,NA
32,0,0.15,0.151,0.0999,0.103,NA,NA,NA,NA,NA,NA
24,8,0.15,0.173,0.0999,0.102,NA,NA,NA,NA,NA,NA
