"measured_confounders","unmeasured_confounders","open_paths","linear_full_blocked","stepwise_blocked","stepwise_X_blocked","lasso_blocked","lasso_X_blocked","lasso_union_blocked"
16,0,16,16,15.3,12.3,16,15.3,16
12,4,16,12,12,10.9,12,11.9,12
32,0,32,32,25.1,20,30.8,27.9,31.8
24,8,32,24,22.4,17.6,23.9,22.6,24
