"measured_confounders","unmeasured_confounders","true_coefficients","linear_full_mean_coef","linear_full_emp_se","linear_full_model_se","stepwise_mean_coef","stepwise_emp_se","stepwise_model_se","stepwise_X_mean_coef","stepwise_X_emp_se","stepwise_X_model_se"
16,0,0.5,0.5,0.0108,0.0107,0.5008,0.0109,0.0106,0.5006,0.0108,0.0107
12,4,0.5,0.5157,0.011,0.0106,0.5158,0.011,0.0106,0.5158,0.011,0.0107
32,0,0.5,0.5,0.0107,0.0106,0.5016,0.0108,0.0106,0.5015,0.0108,0.0107
24,8,0.5,0.5095,0.0106,0.0106,0.5106,0.0107,0.0106,0.5104,0.0107,0.0107
64,0,0.5,0.5005,0.0108,0.0106,0.5026,0.0108,0.0105,0.5024,0.0108,0.0107
48,16,0.5,0.5051,0.0105,0.0106,0.507,0.0106,0.0106,0.5069,0.0106,0.0107
