"measured_confounders","unmeasured_confounders","linear_full_bias","linear_full_coverage","stepwise_bias","stepwise_coverage","stepwise_X_bias","stepwise_X_coverage","lasso_bias","lasso_coverage","lasso_X_bias","lasso_X_coverage","lasso_union_bias","lasso_union_coverage"
16,0,-3e-04,0.9525,4e-04,0.9555,5e-04,0.9575,-4e-04,0.952,-4e-04,0.9525,-3e-04,0.9525
12,4,0.0063,0.8945,0.0066,0.8875,0.0067,0.885,0.0063,0.8945,0.0063,0.8945,0.0063,0.8945
32,0,2e-04,0.946,0.0011,0.937,0.0012,0.9415,0,0.9445,-1e-04,0.9445,2e-04,0.946
24,8,0.0033,0.9295,0.0041,0.922,0.0042,0.924,0.0033,0.93,0.0032,0.93,0.0033,0.9295
64,0,1e-04,0.946,0.0014,0.9445,0.0016,0.9445,-6e-04,0.9505,-7e-04,0.95,2e-04,0.9455
48,16,0.002,0.9505,0.0033,0.942,0.0035,0.945,0.0017,0.9485,0.0016,0.95,0.002,0.9505
