"measured_confounders","unmeasured_confounders","true_coefficients","lasso_mean_coef","lasso_emp_se","lasso_model_se","lasso_X_mean_coef","lasso_X_emp_se","lasso_X_model_se","lasso_union_mean_coef","lasso_union_emp_se","lasso_union_model_se"
16,0,0.15,0.152,0.102,0.102,0.152,0.102,0.102,0.152,0.102,0.103
12,4,0.15,0.18,0.105,0.102,0.18,0.105,0.102,0.18,0.105,0.102
32,0,0.15,0.15,0.0999,0.102,0.151,0.0999,0.103,0.151,0.0999,0.103
24,8,0.15,0.173,0.0999,0.102,0.173,0.0998,0.102,0.173,0.0999,0.102
