"measured_confounders","unmeasured_confounders","linear_full_bias","linear_full_coverage","stepwise_bias","stepwise_coverage","stepwise_X_bias","stepwise_X_coverage","lasso_bias","lasso_coverage","lasso_X_bias","lasso_X_coverage","lasso_union_bias","lasso_union_coverage"
16,0,0.00147,0.953,NA,NA,NA,NA,0.00146,0.953,0.00132,0.952,0.00147,0.953
12,4,0.0333,0.894,NA,NA,NA,NA,0.0333,0.894,0.0332,0.894,0.0333,0.894
32,0,-0.000505,0.948,NA,NA,NA,NA,-0.000796,0.947,-0.00117,0.948,-0.000504,0.948
24,8,0.0206,0.932,NA,NA,NA,NA,0.0205,0.932,0.0203,0.932,0.0206,0.932
64,0,0.000145,0.953,NA,NA,NA,NA,-0.00132,0.952,-0.00185,0.951,0.000172,0.953
48,16,0.0115,0.946,NA,NA,NA,NA,0.0108,0.946,0.0104,0.948,0.0115,0.946
128,0,0.00232,0.954,NA,NA,NA,NA,-0.00258,0.96,-0.00372,0.961,0.00264,0.954
96,32,0.0102,0.938,NA,NA,NA,NA,0.00727,0.94,0.00635,0.942,0.0103,0.938
