"measured_confounders","unmeasured_confounders","linear_full_bias","linear_full_coverage","stepwise_bias","stepwise_coverage","stepwise_X_bias","stepwise_X_coverage","lasso_bias","lasso_coverage","lasso_X_bias","lasso_X_coverage","lasso_union_bias","lasso_union_coverage"
16,0,-0.00334,0.953,NA,NA,NA,NA,-0.00796,0.954,-0.00382,0.952,-0.00332,0.953
12,4,0.0274,0.951,NA,NA,NA,NA,0.0255,0.952,0.0274,0.951,0.0274,0.951
32,0,0.00444,0.948,NA,NA,NA,NA,-0.00827,0.946,0.00219,0.949,0.00465,0.948
24,8,0.0191,0.944,NA,NA,NA,NA,0.0119,0.946,0.0184,0.944,0.0192,0.944
64,0,0.0054,0.95,NA,NA,NA,NA,-0.0236,0.951,-0.000833,0.949,0.00716,0.951
48,16,0.00588,0.946,NA,NA,NA,NA,-0.0152,0.946,0.00263,0.946,0.00653,0.946
128,0,0.00407,0.956,NA,NA,NA,NA,-0.0497,0.934,-0.0116,0.956,0.0114,0.957
96,32,0.00829,0.948,NA,NA,NA,NA,-0.034,0.95,-0.00195,0.953,0.0126,0.946
