"measured_confounders","unmeasured_confounders","open_paths","linear_full_blocked","linear_full_blocked_percentage","stepwise_blocked","stepwise_blocked_percentage","stepwise_X_blocked","stepwise_X_blocked_percentage","lasso_blocked","lasso_blocked_percentage","lasso_X_blocked","lasso_X_blocked_percentage","lasso_union_blocked","lasso_union_blocked_percentage"
16,0,16,16,1,NA,NA,NA,NA,14.1,0.881,15.6,0.975,16,1
12,4,16,12,0.75,NA,NA,NA,NA,10.7,0.669,11.8,0.738,12,0.75
32,0,32,32,1,NA,NA,NA,NA,22.4,0.7,29.1,0.909,31.1,0.972
24,8,32,24,0.75,NA,NA,NA,NA,17.8,0.556,22.5,0.703,23.6,0.738
