"measured_confounders","unmeasured_confounders","linear_full_bias","linear_full_coverage","stepwise_bias","stepwise_coverage","stepwise_X_bias","stepwise_X_coverage","lasso_bias","lasso_coverage","lasso_X_bias","lasso_X_coverage","lasso_union_bias","lasso_union_coverage"
16,0,0,0.95,NA,NA,NA,NA,0,0.95,0,0.95,0,0.95
12,4,0.035,0.086,NA,NA,NA,NA,0.035,0.086,0.035,0.086,0.035,0.086
32,0,-3e-04,0.944,NA,NA,NA,NA,-4e-04,0.944,-3e-04,0.944,-3e-04,0.944
24,8,0.0203,0.512,NA,NA,NA,NA,0.0203,0.512,0.0203,0.512,0.0203,0.512
64,0,0,0.954,NA,NA,NA,NA,-7e-04,0.952,-6e-04,0.952,0,0.954
48,16,0.0112,0.809,NA,NA,NA,NA,0.011,0.812,0.0111,0.814,0.0112,0.809
128,0,0,0.949,NA,NA,NA,NA,-0.0019,0.944,-0.0018,0.945,1e-04,0.949
96,32,0.0058,0.906,NA,NA,NA,NA,0.0049,0.918,0.005,0.916,0.0058,0.904
