"measured_confounders","unmeasured_confounders","true_coefficients","lasso_mean_coef","lasso_emp_se","lasso_model_se","lasso_X_mean_coef","lasso_X_emp_se","lasso_X_model_se","lasso_union_mean_coef","lasso_union_emp_se","lasso_union_model_se"
16,0,0.15,0.149,0.0581,0.0591,0.149,0.0581,0.0591,0.149,0.0581,0.0591
12,4,0.15,0.184,0.0577,0.0586,0.184,0.0577,0.0586,0.184,0.0577,0.0586
32,0,0.15,0.15,0.0601,0.059,0.149,0.0601,0.059,0.152,0.0601,0.0591
24,8,0.15,0.169,0.0577,0.0587,0.169,0.0578,0.0587,0.17,0.0578,0.0588
64,0,0.15,0.147,0.0596,0.0591,0.146,0.0595,0.0591,0.153,0.0598,0.0593
48,16,0.15,0.158,0.0607,0.059,0.158,0.0606,0.059,0.161,0.0608,0.0591
128,0,0.15,0.139,0.0599,0.0593,0.139,0.0595,0.0593,0.156,0.0604,0.0597
96,32,0.15,0.148,0.059,0.0592,0.147,0.059,0.0592,0.159,0.0592,0.0594
